-658.32462,688.65778	-657.59307,688.87415	-656.0031,689.85805	-654.41309,691.36921	-653.0261,693.15877	-652.04508,694.97766	-651.77023,695.82027	-651.67295,696.57676	-656.04261,707.92723	-656.38974,708.43387	-665.14934,718.43606	-665.70247,718.96137	-667.34954,719.84641	-684.79267,727.88201	-685.34666,728.14714	-686.0021,728.156	-686.73363,727.93965	-688.3236,726.95575	-689.91358,725.44449	-691.30054,723.65496	-692.28157,721.83617	-692.55648,720.99352	-692.65377,720.23703	-693.19077,706.55314	-693.13102,704.48746	-692.94779,703.6203	-692.65372,702.91655	-686.27691,690.79738	-685.19227,689.03834	-684.59996,688.37903	-683.99345,687.91652	-671.9788,686.02554	-671.36651,686.07282
-661.07448,754.5661	-661.29084,755.29766	-662.27474,756.88763	-663.7859,758.47764	-665.57546,759.86463	-667.39435,760.84565	-668.23696,761.1205	-668.99346,761.21778	-680.34392,756.84812	-680.85056,756.50099	-690.85275,747.74139	-691.37806,747.18826	-692.2631,745.54118	-700.2987,728.09806	-700.56383,727.54407	-700.57269,726.88863	-700.35634,726.15709	-699.37244,724.56713	-697.86118,722.97714	-696.07165,721.59019	-694.25286,720.60915	-693.41021,720.33425	-692.65372,720.23696	-678.96983,719.69996	-676.90415,719.7597	-676.03699,719.94293	-675.33324,720.23701	-663.21408,726.61382	-661.45503,727.69845	-660.79572,728.29076	-660.33321,728.89728	-658.44223,740.91192	-658.48951,741.52421
-623.47398,733.7134	-622.94861,734.26655	-622.06361,735.91362	-621.44221,738.01733	-621.13581,740.26062	-621.19567,742.32634	-621.37895,743.19349	-621.67295,743.89727	-631.13242,751.54223	-631.68636,751.80743	-644.27349,756.08978	-645.01518,756.26815	-646.8841,756.21107	-666.00809,754.44855	-666.62042,754.40116	-667.19249,754.08112	-667.71784,753.52799	-668.60284,751.88092	-669.22417,749.77714	-669.53054,747.53388	-669.47075,745.46824	-669.28751,744.60104	-668.99351,743.89725	-662.61662,731.77815	-661.53204,730.0191	-660.93978,729.35973	-660.33323,728.8973	-648.75117,721.5902	-646.93232,720.60914	-646.08971,720.33432	-645.3332,720.23703	-633.98272,724.60672	-633.4761,724.95381
-629.81372,710.05314	-629.28836,710.6063	-628.40336,712.25336	-627.78195,714.35707	-627.47556,716.60037	-627.53542,718.66609	-627.7187,719.53324	-628.01269,720.23702	-637.47217,727.88197	-638.02611,728.14717	-650.61324,732.42953	-651.35492,732.60789	-653.22385,732.55082	-672.34784,730.78829	-672.96017,730.74091	-673.53223,730.42086	-674.05758,729.86773	-674.94258,728.22067	-675.56392,726.11688	-675.87029,723.87363	-675.8105,721.80799	-675.62725,720.94078	-675.33326,720.237	-668.95636,708.1179	-667.87179,706.35884	-667.27952,705.69947	-666.67298,705.23704	-655.09091,697.92995	-653.27207,696.94889	-652.42946,696.67406	-651.67295,696.57677	-640.32247,700.94646	-639.81585,701.29355
-629.07245,667.0638	-628.33072,666.8854	-626.46182,666.9425	-624.32925,667.4562	-622.2333,668.3125	-620.47427,669.3972	-619.81493,669.9895	-619.35244,670.596	-617.46145,682.61062	-617.50875,683.22295	-620.09369,696.2649	-620.31006,696.9964	-621.29395,698.5864	-632.38234,714.267	-632.72954,714.7736	-633.29274,715.109	-634.03444,715.2874	-635.90334,715.2303	-638.03594,714.7165	-640.13184,713.8602	-641.89084,712.7756	-642.55024,712.1833	-643.01274,711.5768	-650.31974,699.9947	-651.30084,698.1759	-651.57574,697.3333	-651.67294,696.5768	-652.21004,682.89289	-652.15024,680.8272	-651.96694,679.96006	-651.67294,679.25626	-642.21344,671.6113	-641.65954,671.3461
-751.59395,661.44871	-752.33568,661.62711	-754.20458,661.57001	-756.33715,661.05631	-758.4331,660.20001	-760.19213,659.11531	-760.85147,658.52301	-761.31396,657.91651	-763.20495,645.90189	-763.15765,645.28956	-760.57271,632.24761	-760.35634,631.51611	-759.37245,629.92611	-748.28406,614.24551	-747.93686,613.73891	-747.37366,613.40351	-746.63196,613.22511	-744.76306,613.28221	-742.63046,613.79601	-740.53456,614.65231	-738.77556,615.73691	-738.11616,616.32921	-737.65366,616.93571	-730.34666,628.51781	-729.36556,630.33661	-729.09066,631.17921	-728.99346,631.93571	-728.45636,645.61962	-728.51616,647.68531	-728.69946,648.55245	-728.99346,649.25625	-738.45296,656.90121	-739.00686,657.16641
-714.73473,683.58534	-714.9511,684.3169	-715.935,685.90686	-717.44616,687.49687	-719.23571,688.88387	-721.0546,689.86489	-721.89722,690.13974	-722.65371,690.23702	-734.00417,685.86735	-734.51081,685.52023	-744.513,676.76063	-745.03832,676.2075	-745.92335,674.56042	-753.95896,657.11729	-754.22408,656.56331	-754.23295,655.90786	-754.0166,655.17633	-753.0327,653.58637	-751.52143,651.99638	-749.73191,650.60943	-747.91312,649.62839	-747.07047,649.35348	-746.31397,649.2562	-732.63008,648.7192	-730.5644,648.77894	-729.69724,648.96217	-728.99349,649.25624	-716.87433,655.63306	-715.11529,656.71769	-714.45598,657.31	-713.99346,657.91651	-712.10249,669.93116	-712.14977,670.54345
-727.19243,659.44013	-727.71779,658.88698	-728.60279,657.23991	-729.2242,655.1362	-729.5306,652.8929	-729.47073,650.82719	-729.28745,649.96004	-728.99346,649.25626	-719.53398,641.6113	-718.98004,641.3461	-706.39291,637.06375	-705.65123,636.88538	-703.7823,636.94245	-684.65831,638.70498	-684.04598,638.75236	-683.47392,639.07241	-682.94857,639.62554	-682.06357,641.27261	-681.44223,643.37639	-681.13586,645.61964	-681.19565,647.68528	-681.3789,648.55249	-681.67289,649.25628	-688.04978,661.37537	-689.13436,663.13443	-689.72662,663.7938	-690.33317,664.25623	-701.91524,671.56333	-703.73408,672.54439	-704.57669,672.81921	-705.3332,672.9165	-716.68368,668.54681	-717.1903,668.19972
-741.18591,626.65576	-741.36431,625.91403	-741.30721,624.04513	-740.79351,621.91256	-739.93721,619.81661	-738.85251,618.05758	-738.26021,617.39824	-737.65371,616.93575	-725.63909,615.04476	-725.02676,615.09206	-711.98481,617.677	-711.25331,617.89337	-709.66331,618.87726	-693.98271,629.96565	-693.47611,630.31285	-693.14071,630.87605	-692.96231,631.61775	-693.01941,633.48665	-693.53321,635.61925	-694.38951,637.71515	-695.47411,639.47415	-696.06641,640.13355	-696.67291,640.59605	-708.25501,647.90305	-710.07381,648.88415	-710.91641,649.15905	-711.67291,649.25625	-725.35682,649.79335	-727.42251,649.73355	-728.28965,649.55025	-728.99345,649.25625	-736.63841,639.79675	-736.90361,639.24285
-682.7327,596.08304	-681.99097,595.90464	-680.12207,595.96174	-677.9895,596.47544	-675.89355,597.33174	-674.13452,598.41644	-673.47519,599.00874	-673.01269,599.61524	-671.1217,611.62986	-671.169,612.24219	-673.75394,625.28414	-673.97031,626.01564	-674.9542,627.60564	-686.04259,643.28624	-686.38979,643.79284	-686.95299,644.12824	-687.69469,644.30664	-689.56359,644.24954	-691.69619,643.73574	-693.79209,642.87944	-695.55109,641.79484	-696.21049,641.20254	-696.67299,640.59604	-703.97999,629.01394	-704.96109,627.19514	-705.23599,626.35254	-705.33319,625.59604	-705.87029,611.91213	-705.81049,609.84644	-705.62719,608.9793	-705.33319,608.2755	-695.87369,600.63054	-695.31979,600.36534
